name	term	lev	seq	value
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa09237	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa11893	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa06691	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa06689	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa22138	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa10532	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa10531	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa21697	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa17690	1
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa01076	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa34634	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa16947	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa02315	0
"phosphoric diester hydrolase activity"	GO:0008081	2	Mcavernosa30986	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa12649	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa28825	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa11691	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa19110	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa07182	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa21862	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa21863	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa16257	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa10886	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa17774	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa00327	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa29518	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa29883	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa33742	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa01775	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa04016	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa25319	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa02694	0
"glycosaminoglycan binding"	GO:0005539;GO:0008201	3	Mcavernosa02691	0
"sulfotransferase activity"	GO:0008146	2	Mcavernosa32377	0
"sulfotransferase activity"	GO:0008146	2	Mcavernosa18560	0
"sulfotransferase activity"	GO:0008146	2	Mcavernosa06395	0
"sulfotransferase activity"	GO:0008146	2	Mcavernosa24707	0
"sulfotransferase activity"	GO:0008146	2	Mcavernosa24758	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa18374	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa11230	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa09460	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa09939	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa20093	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa25472	0
"carbohydrate derivative transmembrane transporter activity"	GO:1901505	2	Mcavernosa02052	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa04719	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa14840	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa14838	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa22014	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa17017	0
"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"	GO:0004322;GO:0016724;GO:0016722	4	Mcavernosa17018	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa04511	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa15249	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa21931	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa09397	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa09399	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa09952	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa26317	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa22890	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa00446	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa01097	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa25808	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa25809	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa01262	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa03495	0
"carboxypeptidase activity"	GO:0004180	4	Mcavernosa17064	0
"transcription factor binding"	GO:0008134	2	Mcavernosa04491	0
"transcription factor binding"	GO:0008134	2	Mcavernosa05277	0
"transcription factor binding"	GO:0008134	2	Mcavernosa05409	0
"transcription factor binding"	GO:0008134	2	Mcavernosa13590	0
"transcription factor binding"	GO:0008134	2	Mcavernosa28110	0
"transcription factor binding"	GO:0008134	2	Mcavernosa28780	0
"transcription factor binding"	GO:0008134	2	Mcavernosa08742	0
"transcription factor binding"	GO:0008134	2	Mcavernosa15136	0
"transcription factor binding"	GO:0008134	2	Mcavernosa15167	0
"transcription factor binding"	GO:0008134	2	Mcavernosa15185	0
"transcription factor binding"	GO:0008134	2	Mcavernosa31731	0
"transcription factor binding"	GO:0008134	2	Mcavernosa32408	0
"transcription factor binding"	GO:0008134	2	Mcavernosa18360	0
"transcription factor binding"	GO:0008134	2	Mcavernosa18613	0
"transcription factor binding"	GO:0008134	2	Mcavernosa18748	0
"transcription factor binding"	GO:0008134	2	Mcavernosa06285	0
"transcription factor binding"	GO:0008134	2	Mcavernosa06511	0
"transcription factor binding"	GO:0008134	2	Mcavernosa06512	0
"transcription factor binding"	GO:0008134	2	Mcavernosa07176	0
"transcription factor binding"	GO:0008134	2	Mcavernosa19650	0
"transcription factor binding"	GO:0008134	2	Mcavernosa21865	0
"transcription factor binding"	GO:0008134	2	Mcavernosa15588	0
"transcription factor binding"	GO:0008134	2	Mcavernosa16329	0
"transcription factor binding"	GO:0008134	2	Mcavernosa10357	0
"transcription factor binding"	GO:0008134	2	Mcavernosa11100	0
"transcription factor binding"	GO:0008134	2	Mcavernosa21297	0
"transcription factor binding"	GO:0008134	2	Mcavernosa26770	0
"transcription factor binding"	GO:0008134	2	Mcavernosa20110	0
"transcription factor binding"	GO:0008134	2	Mcavernosa20339	0
"transcription factor binding"	GO:0008134	2	Mcavernosa20612	0
"transcription factor binding"	GO:0008134	2	Mcavernosa17550	0
"transcription factor binding"	GO:0008134	2	Mcavernosa17696	0
"transcription factor binding"	GO:0008134	2	Mcavernosa23147	0
"transcription factor binding"	GO:0008134	2	Mcavernosa00072	0
"transcription factor binding"	GO:0008134	2	Mcavernosa29539	0
"transcription factor binding"	GO:0008134	2	Mcavernosa29633	0
"transcription factor binding"	GO:0008134	2	Mcavernosa29940	0
"transcription factor binding"	GO:0008134	2	Mcavernosa23674	0
"transcription factor binding"	GO:0008134	2	Mcavernosa23933	0
"transcription factor binding"	GO:0008134	2	Mcavernosa27434	0
"transcription factor binding"	GO:0008134	2	Mcavernosa34528	0
"transcription factor binding"	GO:0008134	2	Mcavernosa34634	0
"transcription factor binding"	GO:0008134	2	Mcavernosa01250	0
"transcription factor binding"	GO:0008134	2	Mcavernosa03283	0
"transcription factor binding"	GO:0008134	2	Mcavernosa03361	0
"transcription factor binding"	GO:0008134	2	Mcavernosa03980	0
"transcription factor binding"	GO:0008134	2	Mcavernosa24934	0
"transcription factor binding"	GO:0008134	2	Mcavernosa17135	0
"transcription factor binding"	GO:0008134	2	Mcavernosa02795	1
"transcription factor binding"	GO:0008134	2	Mcavernosa02869	0
"transcription factor binding"	GO:0008134	2	Mcavernosa31618	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa04395	1
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa04491	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa04749	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa05895	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa06079	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa12277	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa12470	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa12536	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa13202	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa13398	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa13632	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa13783	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa13950	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa14013	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa28059	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa28557	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa28691	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa08312	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09033	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09244	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09256	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09249	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa14481	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa14500	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa14883	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa14884	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa15134	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa15190	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa31719	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa32033	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa32498	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa18580	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa18613	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa19029	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa06763	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa06973	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa19820	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa20053	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22069	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22071	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22155	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22777	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa15995	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa15994	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa16329	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa10300	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa10827	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa11190	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09357	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09451	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa09481	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa10103	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa21185	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa21561	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa26962	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22897	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa22931	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa23560	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa00144	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa00160	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa29440	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa26225	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa23766	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa23964	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa23976	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa27343	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa27344	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa34524	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa34528	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01574	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01664	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01838	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01891	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa02043	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa02083	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa03722	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa07814	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa24678	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa25193	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa16494	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa16656	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa16657	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa02694	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa02691	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa02700	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa03067	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa03065	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa31169	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa31243	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa31801	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa20547	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa00397	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa26056	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa23647	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01750	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01951	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa01947	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa08183	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	Mcavernosa30882	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa05420	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa05844	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa06124	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa12592	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa27971	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa27972	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa28507	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa08490	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa08491	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa15217	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa11693	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa11692	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa18563	0
"organic anion transmembrane transporter activity"	GO:0005342;GO:0046943;GO:0008514	2	Mcavernosa18568	0
