"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 5 "GO:0000030" "mannosyltransferase activity" 1
0 1 7 6 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 5 6 "GO:0000146;GO:0030898" "microfilament motor activity" 1
0 1 3 6 "GO:0000149" "SNARE binding" 1
0 1 3 146 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 1
0 1 5 15 "GO:0000287" "magnesium ion binding" 1
0 1 3 26 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 1 4 18 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 1 2 30 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 2 12 "GO:0000987;GO:0000978" "cis-regulatory region sequence-specific DNA binding" 1
0 1 -1 70 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 1 4 36 "GO:0001067" "regulatory region nucleic acid binding" 1
0 1 -1 12 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 1 2 9 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 1 -1 7 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 1 3 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 4 10 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 1 2 5 "GO:0001540" "amyloid-beta binding" 1
0 0.0545381041926254 2 10 "GO:0001653;GO:0008528;GO:0030594;GO:0008188" "neurotransmitter receptor activity" 1
0 1 3 14 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 4 93 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 1
0 1 2 5 "GO:0002039" "p53 binding" 1
0 1 2 140 "GO:0003677" "DNA binding" 1
0 1 2 11 "GO:0003678" "DNA helicase activity" 1
0 1 2 45 "GO:0003682" "chromatin binding" 1
0 1 3 5 "GO:0003684" "damaged DNA binding" 1
0 1 3 41 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 11 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 80 "GO:0003700" "DNA-binding transcription factor activity" 1
0 1 2 44 "GO:0003713" "transcription coactivator activity" 1
0 1 2 25 "GO:0003714" "transcription corepressor activity" 1
0 1 2 84 "GO:0003723" "RNA binding" 1
0 1 2 10 "GO:0003724;GO:0008186" "RNA helicase activity" 1
0 1 3 6 "GO:0003725" "double-stranded RNA binding" 1
0 1 3 9 "GO:0003727" "single-stranded RNA binding" 1
0 1 3 38 "GO:0003729" "mRNA binding" 1
0 1 2 6 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 10 "GO:0003735" "structural constituent of ribosome" 1
