allSites,variantSites
0.0028,0.2482
0.0029,0.2469
0.0028,0.2528
0.003,0.3086
0.0035,0.2608
0.003,0.2434
0.0027,0.2206
0.0027,0.2415
0.0028,0.2559
0.0027,0.2717
0.0028,0.2475
0.003,0.2617
0.0028,0.2677
0.003,0.2624
0.0031,0.2937
0.0028,0.2248
0.0028,0.2525
0.0029,0.2502
0.003,0.2428
0.004,0.4138
0.003,0.2342
0.0028,0.2636
0.0027,0.2949
0.0028,0.2524
0.0029,0.2374
0.0028,0.2563
0.0028,0.2553
0.003,0.2848
0.003,0.2525
0.0035,0.2465
0.0034,0.2683
0.0031,0.2537
0.0029,0.2583
0.0029,0.2568
0.0029,0.2598
0.0029,0.2565
0.0034,0.2607
0.0029,0.2452
0.0029,0.2597
0.0027,0.2397
0.0028,0.2389
0.0029,0.2324
0.0032,0.272
0.0029,0.2187
0.003,0.2432
0.0029,0.2225
0.0029,0.226
0.0028,0.2596
0.0029,0.235
0.0028,0.2485
0.0028,0.2476
0.003,0.2355
0.0027,0.2453
0.0028,0.2429
0.0028,0.242
0.003,0.2918
0.0028,0.273
0.003,0.2347
0.0029,0.2563
0.0029,0.2249
0.0042,0.4293
0.0031,0.2391
0.0027,0.2315
0.0029,0.2581
0.0025,0.2502
0.0028,0.2484
0.0029,0.2958
0.0028,0.243
0.0027,0.2318
0.0029,0.2577
0.0028,0.2467
0.0027,0.2543
0.0032,0.3373
0.0028,0.2683
0.003,0.277
0.0039,0.3198
0.0038,0.4039
0.0028,0.2633
0.0027,0.2636
0.003,0.3205
0.0027,0.2557
0.0034,0.2531
0.0031,0.2951
0.0028,0.249
0.0027,0.2462
0.003,0.258
0.0037,0.2396
0.003,0.2426
0.0029,0.23
0.0037,0.2864
0.0034,0.2459
0.0035,0.3044
0.0029,0.2592
0.0028,0.2481
0.0033,0.2795
0.0029,0.245
0.0031,0.3051
