File	Number of Reads		Total Raw Reads (M)	Number of raw reads per library (M)
2-4_S19_L001_R1_001.fastq	2273308		538.69729	5.082049906
2-4_S19_L002_R1_001.fastq	2272450			
Mx1-1_S43_L001_R1_001.fastq	14098025			
Mx1-1_S43_L002_R1_001.fastq	14026825			
Mx1-2_S44_L001_R1_001.fastq	20285912			
Mx1-2_S44_L002_R1_001.fastq	20176949			
Mx1-3_S45_L001_R1_001.fastq	16642343			
Mx1-3_S45_L002_R1_001.fastq	16548085			
Mx1-4_S46_L001_R1_001.fastq	15135843			
Mx1-4_S46_L002_R1_001.fastq	15027389			
Mx1-5_S47_L001_R1_001.fastq	19975682			
Mx1-5_S47_L002_R1_001.fastq	19851906			
Mx1-6_S48_L001_R1_001.fastq	21520501			
Mx1-6_S48_L002_R1_001.fastq	21386848			
Mx1-7_S49_L001_R1_001.fastq	22854243			
Mx1-7_S49_L002_R1_001.fastq	22698080			
Mx1-8_S50_L001_R1_001.fastq	24818987			
Mx1-8_S50_L002_R1_001.fastq	24652637			
Mx2-1_S51_L001_R1_001.fastq	19419602			
Mx2-1_S51_L002_R1_001.fastq	19278956			
Mx2-2_S52_L001_R1_001.fastq	22613527			
Mx2-2_S52_L002_R1_001.fastq	22455775			
Mx2-3_S53_L001_R1_001.fastq	22626387			
Mx2-3_S53_L002_R1_001.fastq	22473387			
Mx2-4_S54_L001_R1_001.fastq	6951776			
Mx2-4_S54_L002_R1_001.fastq	6904102			
1-1_S9_L001_R1_001.fastq	2170856			
1-1_S9_L002_R1_001.fastq	2169340			
1-2_S10_L001_R1_001.fastq	2375066			
1-2_S10_L002_R1_001.fastq	2373253			
1-3_S11_L001_R1_001.fastq	2807620			
1-3_S11_L002_R1_001.fastq	2812846			
1-4_S12_L001_R1_001.fastq	2562070			
1-4_S12_L002_R1_001.fastq	2560664			
1-5_S13_L001_R1_001.fastq	2228817			
1-5_S13_L002_R1_001.fastq	2228952			
1-6_S14_L001_R1_001.fastq	2300731			
1-6_S14_L002_R1_001.fastq	2302408			
1-7_S15_L001_R1_001.fastq	2602395			
1-7_S15_L002_R1_001.fastq	2602245			
1-8_S16_L001_R1_001.fastq	4436545			
1-8_S16_L002_R1_001.fastq	4440162			
2-1_S17_L001_R1_001.fastq	16817335			
2-1_S17_L002_R1_001.fastq	16860530			
2-2_S18_L001_R1_001.fastq	2537094			
2-2_S18_L002_R1_001.fastq	2538836			
