sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am
MX001,22.39622,-89.70578,18.07.19,24.92492492,Shallow,25,Alacranes,15942,0,0,0,0,0,0,0,0,0,0,0
MX002,22.39622,-89.70578,18.07.19,24.02402402,Shallow,25,Alacranes,0,0,11768,0,0,0,0,0,0,0,0,0
MX003,22.39622,-89.70578,18.07.19,25.52552553,Shallow,25,Alacranes,0,0,0,14046,0,0,0,0,0,0,0,0
MX004,22.39622,-89.70578,18.07.19,25.82582583,Shallow,25,Alacranes,0,0,716,0,0,0,0,0,0,0,0,0
MX005,22.39622,-89.70578,18.07.19,24.92492492,Shallow,25,Alacranes,16485,0,0,0,0,0,0,0,0,0,0,0
MX006,22.39622,-89.70578,18.07.19,24.02402402,Shallow,25,Alacranes,0,0,0,9072,0,0,0,0,0,0,0,0
MX007,22.39622,-89.70578,18.07.19,24.62462462,Shallow,25,Alacranes,17012,0,0,0,0,0,0,0,0,0,0,0
MX008,22.39622,-89.70578,18.07.19,17.41741742,Shallow,15,Alacranes,0,0,0,0,7725,0,0,0,0,0,0,0
MX009,22.39622,-89.70578,18.07.19,15.91591592,Shallow,15,Alacranes,0,8459,0,0,0,0,0,0,0,0,0,0
MX010,22.39622,-89.70578,18.07.19,14.11411411,Shallow,15,Alacranes,0,6716,0,0,0,0,0,0,0,0,140,478
MX011,22.39622,-89.70578,18.07.19,10.81081081,Shallow,10,Alacranes,0,11739,0,0,0,0,0,0,0,0,0,0
MX012,22.39622,-89.70578,18.07.19,9.90990991,Shallow,10,Alacranes,0,0,0,3840,0,0,0,0,0,0,0,0
MX013,22.39622,-89.70578,18.07.19,10.51051051,Shallow,10,Alacranes,0,0,0,21382,0,0,0,0,0,0,0,0
MX014,22.39622,-89.70578,18.07.19,9.009009009,Shallow,10,Alacranes,0,7538,0,0,0,0,0,0,0,0,0,0
MX015,22.39622,-89.70578,18.07.19,9.309309309,Shallow,10,Alacranes,0,21195,0,0,0,0,0,0,0,0,0,0
MX016,22.39592,-89.70556,18.07.19,36.63663664,Mesophotic,35,Alacranes,0,0,0,12263,0,0,0,0,0,0,0,0
MX017,22.39592,-89.70556,18.07.19,36.93693694,Mesophotic,35,Alacranes,14753,0,0,0,0,0,0,0,0,0,0,0
MX018,22.39592,-89.70556,18.07.19,37.83783784,Mesophotic,35,Alacranes,0,0,0,0,0,0,6339,0,0,0,0,0
MX019,22.39592,-89.70556,18.07.19,37.23723724,Mesophotic,35,Alacranes,0,0,0,0,0,0,0,0,0,13829,0,0
MX020,22.39592,-89.70556,18.07.19,36.63663664,Mesophotic,35,Alacranes,0,0,0,0,0,0,5291,0,0,0,0,0
MX021,22.39592,-89.70556,18.07.19,39.03903904,Mesophotic,35,Alacranes,22229,0,0,0,0,0,0,0,0,0,0,0
MX022,22.39592,-89.70556,18.07.19,37.83783784,Mesophotic,35,Alacranes,11446,0,0,0,0,0,0,0,0,0,0,0
