sample,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site
MX001,0.933700363,0,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,24.92492492,Shallow,25,Alacranes
MX002,0,0,0.919446832,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,24.02402402,Shallow,25,Alacranes
MX003,0,0,0,0.935651479,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,25.52552553,Shallow,25,Alacranes
MX004,0,0,0.935947712,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,25.82582583,Shallow,25,Alacranes
MX005,0.959155175,0,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,24.92492492,Shallow,25,Alacranes
MX006,0,0,0,0.93055698,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,24.02402402,Shallow,25,Alacranes
MX007,0.94390501,0,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,24.62462462,Shallow,25,Alacranes
MX008,0,0,0,0,0.913552507,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,17.41741742,Shallow,15,Alacranes
MX009,0,0.898555343,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,15.91591592,Shallow,15,Alacranes
MX010,0,0.720523549,0,0,0,0,0,0,0,0,0.015019848,0.051282051,22.39622,-89.70578,18.07.19,14.11411411,Shallow,15,Alacranes
MX011,0,0.898713826,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,10.81081081,Shallow,10,Alacranes
MX012,0,0,0,0.949554896,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,9.90990991,Shallow,10,Alacranes
MX013,0,0,0,0.909756201,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,10.51051051,Shallow,10,Alacranes
MX014,0,0.902214243,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,9.009009009,Shallow,10,Alacranes
MX015,0,0.899236317,0,0,0,0,0,0,0,0,0,0,22.39622,-89.70578,18.07.19,9.309309309,Shallow,10,Alacranes
MX016,0,0,0,0.946438219,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,36.63663664,Mesophotic,35,Alacranes
MX017,0.948929054,0,0,0,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,36.93693694,Mesophotic,35,Alacranes
MX018,0,0,0,0,0,0,0.622324759,0,0,0,0,0,22.39592,-89.70556,18.07.19,37.83783784,Mesophotic,35,Alacranes
MX019,0,0,0,0,0,0,0,0,0,0.858038096,0,0,22.39592,-89.70556,18.07.19,37.23723724,Mesophotic,35,Alacranes
MX020,0,0,0,0,0,0,0.714035088,0,0,0,0,0,22.39592,-89.70556,18.07.19,36.63663664,Mesophotic,35,Alacranes
MX021,0.953625054,0,0,0,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,39.03903904,Mesophotic,35,Alacranes
MX022,0.955505468,0,0,0,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,37.83783784,Mesophotic,35,Alacranes
MX023,0.936064268,0,0,0,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,37.53753754,Mesophotic,35,Alacranes
MX024,0.8870648,0,0,0,0,0,0,0,0,0,0,0,22.39592,-89.70556,18.07.19,36.63663664,Mesophotic,35,Alacranes
MX025,0,0.909154584,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.91591592,Shallow,15,Alacranes
MX026,0,0,0,0.952126607,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.61561562,Shallow,15,Alacranes
MX027,0.939690371,0,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.61561562,Shallow,15,Alacranes
MX028,0.924343761,0,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.61561562,Shallow,15,Alacranes
MX029,0,0.884851936,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,14.71471471,Shallow,15,Alacranes
MX030,0,0.929777245,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.91591592,Shallow,15,Alacranes
MX031,0,0.912166293,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,15.61561562,Shallow,15,Alacranes
MX032,0,0.901273885,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,14.41441441,Shallow,15,Alacranes
MX033,0.935647007,0,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,11.11111111,Shallow,10,Alacranes
MX034,0,0.903257651,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,9.90990991,Shallow,10,Alacranes
MX035,0,0.897215026,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,10.21021021,Shallow,10,Alacranes
MX036,0,0.834621993,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,10.21021021,Shallow,10,Alacranes
MX037,0,0.920600709,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,10.21021021,Shallow,10,Alacranes
MX038,0,0.892944411,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,9.60960961,Shallow,10,Alacranes
MX039,0,0.889501848,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,9.309309309,Shallow,10,Alacranes
MX040,0,0.904859199,0,0,0,0,0,0,0,0,0,0,22.54583,-89.66012,18.07.19,10.51051051,Shallow,10,Alacranes
MX041,0,0.888991343,0,0,0,0,0,0,0,0,0,0,22.51127,-89.79737,18.07.19,11.11111111,Shallow,10,Alacranes
