sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,A4,A4a,71557_A,71560_A,373904_A,1398261_A,136583_A,37985_A,67498_A,A3at,B2a,40229_B,B19,29324_B,1398254_B,1398255_B,40230_B,50998_B,363084_B,1398256_B,B1,1398196_B,326410_B,1398197_B,B18c,C3,C21,C3an,C3fc,C3de,C3b,C3bb,C65b,C3s,C3fd,C21ae,C3gz,65808_C,41315_C,892227_C,C3dk,C3gu,C3gw,C3gy,1398199_C,C3gx,C3gv,44082_C,1398208_C,1398201_C,1398198_C,115584_C,20889_C,47745_C,71453_C,1398200_C,892623_C,1398212_C,1398213_C,1398210_C,C50f,C3ey,3238_C,21025_C,71372_C,C6b,42844_C,99002_C,132192_C,75670_C,1398227_C,71371_C,67000_C,470998_C,1398217_C,C3ad,1398253_C,1398218_C,1398211_C,C1,1398215_C,C40g,1398219_C,1398220_C,20921_C,C3ag,C93.1,C3db,1398228_C,105162_C,1398224_C,25492_C,C3dw,1398223_C,C3fy,1398226_C,1398204_C,1398221_C,1398172_C,46030_C,1398205_C,1398232_C,128933_C,1398202_C,109783_C,38271_C,1398233_C,1398230_C,1398258_C,1398235_C,990_C,C6a,53700_C,71505_C,1398195_C,52147_C,22869_C,1398214_C,C11,1398257_C,54162_C,C16,1628_C,1398229_C,1398216_C,54160_C,1398252_C,1398234_C,1398222_C,1398225_C,22689_C,1398231_C,41031_C,9770_C,25923_C,22806_C,2427_C,1398180_C,1364_C,423805_C,1398262_C,1830_C,789925_C,24506_C,11191_C,C3n,1398259_C,29186_C,1398203_C,37068_C,1398181_C,1398237_C,903269_C,99568_C,1398173_C,39422_C,1398236_C,21018_C,21909_C,47758_C,470507_C,91355_C,99053_C,1398260_C,44826_C,18746_C,41854_C,G3am,1398174_G,G3b,1398176_G,1398175_G,1398177_G,1398182_G,1398178_G,1398184_G,1398183_G,1398185_G,1398190_G,57869_G,1398189_G,1398187_G,1398191_G,1398188_G,57133_G,1341836_G,1398240_G,1398239_G,1398238_G,481020_G,1398241_G,1161965_G,1398179_G,1398242_G,1398246_G,1398245_G,1398244_G,1398243_G,1398193_G,484569_G,1398250_G,1398249_G,1398248_G,1398247_G,738443_G,1398251_G,1341844_G,518630_G,481032_G,1398186_G,1398192_G,1398194_G,1337502_G,Symbiodinium Total,Breviolum Total,Cladocopium Total,Gerlakdium Total,Seq Total,Prop Cladocopium
MX001,22.39622,-89.70578,18.07.19,24.9249249,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11261,1254,920,1120,0,623,462,302,306,282,0,0,144,197,126,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17074,0,17074,1
MX002,22.39622,-89.70578,18.07.19,24.024024,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7390,696,458,440,1349,0,672,408,258,0,537,0,88,101,82,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12794,5,12799,0.999609344
MX003,22.39622,-89.70578,18.07.19,25.5255255,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10175,1020,711,839,0,620,393,235,258,288,0,0,131,106,86,0,0,0,0,0,0,0,75,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15012,0,15012,1
MX004,22.39622,-89.70578,18.07.19,25.8258258,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,28,33,10,78,5,49,5,12,4,32,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,765,1
MX005,22.39622,-89.70578,18.07.19,24.9249249,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11773,1075,533,1332,0,216,483,1073,224,0,0,0,150,178,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17187,0,17187,1
MX006,22.39622,-89.70578,18.07.19,24.024024,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6903,485,380,607,0,309,215,163,121,173,0,62,58,78,60,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9749,0,9749,1
MX007,22.39622,-89.70578,18.07.19,24.6246246,Shallow,25,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12329,1109,706,1289,130,441,455,683,237,168,0,0,153,187,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18023,0,18023,1
MX008,22.39622,-89.70578,18.07.19,17.4174174,Shallow,15,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682,419,346,86,1080,233,488,0,236,83,474,0,83,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8456,0,8456,1
MX009,22.39622,-89.70578,18.07.19,15.9159159,Shallow,15,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,606,488,511,0,340,260,198,135,142,0,370,114,91,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,44,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9414,0,9414,1
MX010,22.39622,-89.70578,18.07.19,14.1141141,Shallow,15,Alacranes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4539,570,496,394,0,146,136,240,76,74,0,435,43,106,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,0,0,0,0,40,57,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,347,140,142,87,55,38,29,26,21,21,22,20,15,13,14,11,11,11,13,13,13,9,12,12,7,11,10,10,10,10,7,9,9,9,9,9,8,8,8,7,7,0,0,0,0,0,0,7600,1721,9321,0.815363158
