sample,site,depthZoneM,cluster2.1,cluster2.2,cluster3.1,cluster3.2,cluster3.3
MX001,Alacranes,25,0.999999999,0.000000001,1.00E-09,1.00E-09,1
MX002,Alacranes,25,0.000000001,0.999999999,1.00E-09,1,1.00E-09
MX003,Alacranes,25,0.999997125,2.88E-06,1,1.00E-09,2.23E-09
MX004,Alacranes,25,0.134087395,0.865912605,0.1313374,0.86821509,0.00044752
MX005,Alacranes,25,0.968484407,0.031515593,0.99406367,0.000000001,0.00593633
MX007,Alacranes,25,0.999999999,0.000000001,1.00E-09,1.00E-09,1
MX008,Alacranes,15,0.999999999,0.000000001,1.00E-09,1.00E-09,1
MX009,Alacranes,15,0.991971233,0.008028767,1,1.00E-09,1.00E-09
MX010,Alacranes,15,0.973896761,0.026103239,1,1.00E-09,1.00E-09
MX011,Alacranes,10,0.999999358,6.42E-07,1,1.00E-09,1.00E-09
MX012,Alacranes,10,0.985846932,0.014153068,1,1.00E-09,1.00E-09
MX014,Alacranes,10,0.986187943,0.013812057,1,1.00E-09,1.00E-09
MX015,Alacranes,10,0.967403541,0.032596459,0.93195915,0.01046237,0.05757848
MX017,Alacranes,35,0.000000001,0.999999999,1.00E-09,1,1.00E-09
MX018,Alacranes,35,0.096201449,0.903798551,0.09924477,0.90074373,1.15E-05
MX019,Alacranes,35,0.000000001,0.999999999,1.00E-09,1,1.00E-09
MX020,Alacranes,35,0.999999999,0.000000001,1.00E-09,1.00E-09,1
MX021,Alacranes,35,0.940148721,0.059851279,0.96553498,0.03446502,1.00E-09
MX022,Alacranes,35,0.000000001,0.999999999,1.00E-09,1,1.00E-09
MX023,Alacranes,35,0.999999999,0.000000001,0.59657831,1.00E-09,0.40342169
MX024,Alacranes,35,0.000000001,0.999999999,1.00E-09,1,1.00E-09
MX025,Alacranes,15,0.999999999,1.14E-09,0.85499851,1.00E-09,0.14500149
MX026,Alacranes,15,0.921194215,0.078805785,0.89605814,0.06441601,0.03952586
MX028,Alacranes,15,0.968835363,0.031164637,0.9999918,8.20E-06,1.00E-09
