sample,pop,depthZone,popDepth
1,Alacranes,25,Alacranes-25
2,Alacranes,25,Alacranes-25
3,Alacranes,25,Alacranes-25
4,Alacranes,25,Alacranes-25
5,Alacranes,25,Alacranes-25
7,Alacranes,25,Alacranes-25
8,Alacranes,15,Alacranes-15
9,Alacranes,15,Alacranes-15
10,Alacranes,15,Alacranes-15
11,Alacranes,10,Alacranes-10
12,Alacranes,10,Alacranes-10
14,Alacranes,10,Alacranes-10
15,Alacranes,10,Alacranes-10
17,Alacranes,35,Alacranes-35
18,Alacranes,35,Alacranes-35
19,Alacranes,35,Alacranes-35
20,Alacranes,35,Alacranes-35
21,Alacranes,35,Alacranes-35
22,Alacranes,35,Alacranes-35
23,Alacranes,35,Alacranes-35
24,Alacranes,35,Alacranes-35
25,Alacranes,15,Alacranes-15
26,Alacranes,15,Alacranes-15
28,Alacranes,15,Alacranes-15
30,Alacranes,15,Alacranes-15
33,Alacranes,10,Alacranes-10
34,Alacranes,10,Alacranes-10
35,Alacranes,10,Alacranes-10
36,Alacranes,10,Alacranes-10
37,Alacranes,10,Alacranes-10
38,Alacranes,10,Alacranes-10
40,Alacranes,10,Alacranes-10
41,Alacranes,10,Alacranes-10
42,Alacranes,10,Alacranes-10
43,Alacranes,10,Alacranes-10
44,Alacranes,10,Alacranes-10
45,Alacranes,10,Alacranes-10
46,Alacranes,15,Alacranes-15
47,Alacranes,15,Alacranes-15
49,Alacranes,15,Alacranes-15
50,Alacranes,15,Alacranes-15
51,Alacranes,35,Alacranes-35
52,Alacranes,35,Alacranes-35
53,Alacranes,35,Alacranes-35
54,Alacranes,35,Alacranes-35
55,Alacranes,35,Alacranes-35
56,Alacranes,35,Alacranes-35
57,Alacranes,35,Alacranes-35
58,Alacranes,25,Alacranes-25
59,Alacranes,25,Alacranes-25
60,Alacranes,25,Alacranes-25
61,Alacranes,25,Alacranes-25
62,Alacranes,25,Alacranes-25
63,Alacranes,25,Alacranes-25
64,Alacranes,25,Alacranes-25
65,Alacranes,25,Alacranes-25
66,Alacranes,25,Alacranes-25
67,Bajos del Norte,35,Bajos del Norte-35
68,Bajos del Norte,35,Bajos del Norte-35
69,Bajos del Norte,35,Bajos del Norte-35
70,Bajos del Norte,35,Bajos del Norte-35
71,Bajos del Norte,35,Bajos del Norte-35
72,Bajos del Norte,35,Bajos del Norte-35
73,Bajos del Norte,35,Bajos del Norte-35
74,Bajos del Norte,35,Bajos del Norte-35
75,Bajos del Norte,35,Bajos del Norte-35
76,Bajos del Norte,35,Bajos del Norte-35
77,Bajos del Norte,35,Bajos del Norte-35
78,Bajos del Norte,15,Bajos del Norte-15
79,Bajos del Norte,15,Bajos del Norte-15
80,Bajos del Norte,15,Bajos del Norte-15
81,Bajos del Norte,15,Bajos del Norte-15
82,Bajos del Norte,15,Bajos del Norte-15
83,Bajos del Norte,15,Bajos del Norte-15
84,Bajos del Norte,15,Bajos del Norte-15
85,Bajos del Norte,15,Bajos del Norte-15
89,Bajos del Norte,10,Bajos del Norte-10
90,Bajos del Norte,10,Bajos del Norte-10
91,Bajos del Norte,10,Bajos del Norte-10
92,Bajos del Norte,10,Bajos del Norte-10
93,Bajos del Norte,10,Bajos del Norte-10
95,Bajos del Norte,15,Bajos del Norte-15
96,Bajos del Norte,15,Bajos del Norte-15
97,Bajos del Norte,15,Bajos del Norte-15
100,Bajos del Norte,15,Bajos del Norte-15
101,Bajos del Norte,10,Bajos del Norte-10
103,Bajos del Norte,10,Bajos del Norte-10
106,Bajos del Norte,10,Bajos del Norte-10
107,Bajos del Norte,10,Bajos del Norte-10
109,Bajos del Norte,25,Bajos del Norte-25
112,Bajos del Norte,25,Bajos del Norte-25
114,Bajos del Norte,25,Bajos del Norte-25
115,Bajos del Norte,25,Bajos del Norte-25
119,Bajos del Norte,25,Bajos del Norte-25
121,Bajos del Norte,25,Bajos del Norte-25
123,Bajos del Norte,25,Bajos del Norte-25
