sample,cluster1,cluster2,cluster3,popDepth
1,1E-09,0.999999998,1E-09,Alacranes-25
2,1E-09,1E-09,0.999999998,Alacranes-25
3,0.999999995,3.55091E-09,1E-09,Alacranes-25
4,0.123917816,0.000271192,0.875810992,Alacranes-25
5,0.995560353,0.004439623,2.39429E-08,Alacranes-25
7,1E-09,0.999999998,1E-09,Alacranes-25
8,1E-09,0.999999998,1E-09,Alacranes-15
9,0.999999998,1E-09,1E-09,Alacranes-15
10,0.999999966,1E-09,3.26991E-08,Alacranes-15
11,0.999999998,1E-09,1E-09,Alacranes-10
12,0.999999971,2.84215E-08,1E-09,Alacranes-10
14,0.999999996,1E-09,2.63161E-09,Alacranes-10
15,0.935559694,0.057826143,0.006614163,Alacranes-10
17,1E-09,1E-09,0.999999998,Alacranes-35
18,0.097943312,0.000434567,0.901622121,Alacranes-35
19,1E-09,1E-09,0.999999998,Alacranes-35
20,1E-09,0.999999998,1E-09,Alacranes-35
21,0.965430519,1E-09,0.03456948,Alacranes-35
22,1E-09,1E-09,0.999999998,Alacranes-35
23,0.592568634,0.407431365,1E-09,Alacranes-35
24,1E-09,1E-09,0.999999998,Alacranes-35
25,0.855671223,0.144328776,1E-09,Alacranes-15
26,0.893855108,0.041467825,0.064677067,Alacranes-15
28,0.999325771,1E-09,0.000674228,Alacranes-15
30,0.834084073,0.165915926,1E-09,Alacranes-15
33,0.97343187,0.021365339,0.005202792,Alacranes-10
34,0.999999998,1E-09,1E-09,Alacranes-10
35,0.898344802,0.083885034,0.017770164,Alacranes-10
36,0.835206959,0.16479107,1.97135E-06,Alacranes-10
37,0.796610406,0.189973004,0.01341659,Alacranes-10
38,0.803824791,0.196175208,1E-09,Alacranes-10
40,0.832757294,0.167242705,0.000000001,Alacranes-10
41,0.959631512,1E-09,0.040368487,Alacranes-10
42,0.988060304,0.011939695,1E-09,Alacranes-10
43,0.976785995,0.023213098,9.07063E-07,Alacranes-10
44,0.906187134,0.06224402,0.031568846,Alacranes-10
45,0.999999998,1E-09,1E-09,Alacranes-10
46,0.999982063,1.79364E-05,1E-09,Alacranes-15
47,0.968787306,0.031212693,1E-09,Alacranes-15
49,1E-09,0.999999998,1E-09,Alacranes-15
50,1E-09,0.999999998,1E-09,Alacranes-15
51,1E-09,1E-09,0.999999998,Alacranes-35
52,1E-09,1E-09,0.999999998,Alacranes-35
53,1E-09,1E-09,0.999999998,Alacranes-35
54,1E-09,1E-09,0.999999998,Alacranes-35
55,1E-09,1E-09,0.999999998,Alacranes-35
56,1E-09,1E-09,0.999999998,Alacranes-35
57,0.040711761,0.959288238,1E-09,Alacranes-35
58,0.798480789,0.20151921,1E-09,Alacranes-25
59,0.999999998,1E-09,1E-09,Alacranes-25
60,0.999999998,1E-09,1E-09,Alacranes-25
61,0.804835762,0.195164237,1E-09,Alacranes-25
62,0.999999998,1E-09,1E-09,Alacranes-25
63,0.99999999,1E-09,9.30505E-09,Alacranes-25
64,1E-09,0.999999998,1E-09,Alacranes-25
65,0.964065444,0.017689003,0.018245553,Alacranes-25
66,0.916256541,0.061073071,0.022670388,Alacranes-25
67,1E-09,1E-09,0.999999998,Bajos del Norte-35
68,1E-09,0.999999998,1E-09,Bajos del Norte-35
69,1E-09,1E-09,0.999999998,Bajos del Norte-35
70,0.495314461,0.504685538,1E-09,Bajos del Norte-35
71,1E-09,1E-09,0.999999998,Bajos del Norte-35
72,1E-09,0.999999998,1E-09,Bajos del Norte-35
73,0.999184771,1.02487E-06,0.000814204,Bajos del Norte-35
74,1E-09,0.999999998,1E-09,Bajos del Norte-35
75,0.999999998,1E-09,1E-09,Bajos del Norte-35
76,0.122898353,0.877101646,1E-09,Bajos del Norte-35
77,1E-09,0.999999998,1E-09,Bajos del Norte-35
78,1E-09,0.999999998,1E-09,Bajos del Norte-15
79,0.999570432,0.000429567,1E-09,Bajos del Norte-15
80,1E-09,0.999999998,1E-09,Bajos del Norte-15
81,1E-09,0.999999998,1E-09,Bajos del Norte-15
82,0.878165894,0.113605272,0.008228834,Bajos del Norte-15
83,0.897801021,0.061931745,0.040267235,Bajos del Norte-15
84,0.960530589,0.009974855,0.029494556,Bajos del Norte-15
85,0.867312725,1.05865E-05,0.132676689,Bajos del Norte-15
87,0.413549273,0.058244844,0.528205884,Bajos del Norte-10
89,0.999999998,1E-09,1E-09,Bajos del Norte-10
90,0.964161569,0.03583843,1E-09,Bajos del Norte-10
91,0.129310669,0.856332143,0.014357188,Bajos del Norte-10
92,0.999400968,0.000599031,1E-09,Bajos del Norte-10
93,0.999999998,1E-09,1E-09,Bajos del Norte-10
95,0.936202015,8.81812E-09,0.063797976,Bajos del Norte-15
96,0.000165348,0.999834651,0.000000001,Bajos del Norte-15
97,0.99999979,1E-09,2.08895E-07,Bajos del Norte-15
100,0.267767315,0.732232684,1E-09,Bajos del Norte-15
101,0.673510127,0.324869059,0.001620814,Bajos del Norte-10
103,0.965319671,0.034498541,0.000181788,Bajos del Norte-10
106,1E-09,0.999999998,1E-09,Bajos del Norte-10
107,0.951588305,0.048411694,0.000000001,Bajos del Norte-10
109,0.955625264,5.70557E-06,0.044369031,Bajos del Norte-25
112,0.969857475,0.030142524,1E-09,Bajos del Norte-25
114,0.996125357,1E-09,0.003874642,Bajos del Norte-25
115,0.998193849,1E-09,0.00180615,Bajos del Norte-25
119,0.999999998,1E-09,1E-09,Bajos del Norte-25
121,0.999821765,2.66301E-05,0.000151605,Bajos del Norte-25
123,0.884159152,4.3932E-08,0.115840804,Bajos del Norte-25
