a,b,ida,idb,nSites,J9,J8,J7,J6,J5,J4,J3,J2,J1,rab,Fa,Fb,theta,inbred_relatedness_1_2,inbred_relatedness_2_1,fraternity,identity,zygosity,2of3_IDB,F_diff_a_b,loglh,nIter,bestoptimll,coverage,2dsfs,R0,R1,KING,2dsfs_loglike,2dsfsf_niter
0,1,mx_001.trim.unal.bt2.bam,mx_002.trim.unal.bt2.bam,8873,0.775866,0,0,0.149594,0,0.068495,0,0.006045,0,0,0.07454,0.155639,0,0,0,0.006045,0,0.006045,0.11509,-0.040549,-11789.47948,126,-1,0.859704,"4.816760e-01,1.542991e-01,5.280496e-02,1.530724e-01,7.207613e-02,2.585798e-02,3.248220e-02,2.037139e-02,7.359702e-03",1.183293,0.164224,-0.197886,-13128.16494,14
0,2,mx_001.trim.unal.bt2.bam,mx_003.trim.unal.bt2.bam,9387,0.89401,0,0,0.03168,0,0.062118,0,0.012192,0,0,0.074311,0.043872,0,0,0,0.012192,0,0.012192,0.059091,0.015219,-12068.15923,78,-1,0.909505,"5.080959e-01,1.542739e-01,2.761575e-02,1.521705e-01,7.727204e-02,2.105557e-02,3.227803e-02,2.090973e-02,6.328448e-03",0.775103,0.189251,-0.084532,-13571.14568,14
0,3,mx_001.trim.unal.bt2.bam,mx_004.trim.unal.bt2.bam,4100,0.919061,0,0,0.000011,0,0.080658,0,0.000268,0.000002,0.000002,0.080928,0.00028,0.000002,0.000002,0.000002,0.000268,0.000002,0.000269,0.040604,0.040324,-4869.02418,78,-1,0.397248,"4.649911e-01,2.022525e-01,2.957676e-02,1.436725e-01,8.747123e-02,1.306662e-02,3.286393e-02,2.094151e-02,5.163899e-03",0.713843,0.197731,-0.067421,-5387.730087,34
0,4,mx_001.trim.unal.bt2.bam,mx_005.trim.unal.bt2.bam,8925,0.915683,0,0,0.002793,0,0.057323,0,0.024199,0.000001,0.000001,0.081524,0.026994,0.000001,0.000001,0.000001,0.024199,0.000001,0.024201,0.054259,0.027265,-11401.17042,170,-1,0.864742,"5.048149e-01,1.584318e-01,3.018855e-02,1.472698e-01,8.081742e-02,1.813627e-02,3.227971e-02,2.194129e-02,6.120231e-03",0.772955,0.197962,-0.086949,-12792.30825,15
0,5,mx_001.trim.unal.bt2.bam,mx_007.trim.unal.bt2.bam,9613,0.581789,0.211315,0.034282,0.062258,0.02892,0.042774,0.022406,0.010566,0.00569,0.184124,0.081435,0.107434,0.101323,0.016893,0.02015,0.044848,0.00569,0.050538,0.260038,-0.009742,-12705.80901,62,-1,0.931402,"5.400750e-01,1.282961e-01,2.169940e-02,1.297255e-01,9.192884e-02,2.714055e-02,2.091258e-02,2.329821e-02,1.692380e-02",0.463532,0.261851,0.013619,-14042.89463,11
0,6,mx_001.trim.unal.bt2.bam,mx_008.trim.unal.bt2.bam,9333,0.592793,0.052748,0.080753,0.137547,0.052391,0.04439,0.039201,0.000177,0,0.175822,0.083768,0.190115,0.09936,0.0196,0.026196,0.080931,0,0.080931,0.289865,-0.046578,-12320.13831,150,-1,0.904273,"5.445903e-01,1.167308e-01,3.005101e-02,1.334265e-01,8.393856e-02,3.011965e-02,2.182590e-02,2.190541e-02,1.741179e-02",0.618034,0.237075,-0.042155,-13562.79413,11
0,7,mx_001.trim.unal.bt2.bam,mx_009.trim.unal.bt2.bam,9905,0.874484,0,0,0.047701,0,0.024803,0,0.053012,0,0,0.077815,0.100713,0,0,0,0.053012,0,0.053012,0.089264,-0.011449,-13258.35786,94,-1,0.959694,"5.087413e-01,1.477023e-01,3.355367e-02,1.502984e-01,7.733971e-02,2.174925e-02,3.560728e-02,1.718069e-02,7.827401e-03",0.894249,0.190449,-0.124046,-14910.54685,10
0,8,mx_001.trim.unal.bt2.bam,mx_010.trim.unal.bt2.bam,9806,0.889783,0,0,0.028784,0,0.059136,0,0.022298,0,0,0.081434,0.051082,0,0,0,0.022298,0,0.022298,0.066258,0.015176,-13002.60563,90,-1,0.950102,"5.028200e-01,1.560282e-01,3.122187e-02,1.518757e-01,7.768894e-02,1.893265e-02,3.280159e-02,2.237348e-02,6.257609e-03",0.8241,0.188003,-0.0998,-14696.69872,11
0,9,mx_001.trim.unal.bt2.bam,mx_011.trim.unal.bt2.bam,8164,0.918629,0.000002,0,0.000067,0,0.07312,0,0.008182,0,0.000001,0.081302,0.008249,0.000001,0,0,0.008182,0,0.008182,0.044776,0.036527,-10148.14406,70,-1,0.791009,"4.971729e-01,1.667245e-01,2.678289e-02,1.464645e-01,8.667210e-02,1.502120e-02,3.412616e-02,1.991113e-02,7.124581e-03",0.702753,0.211896,-0.067399,-11368.60788,18
0,10,mx_001.trim.unal.bt2.bam,mx_012.trim.unal.bt2.bam,9884,0.845519,0,0,0.072252,0,0.080075,0,0.002152,0.000002,0.000002,0.082229,0.074406,0.000002,0.000002,0.000002,0.002152,0.000002,0.002154,0.078317,0.003912,-13151.89002,86,-1,0.957659,"5.070963e-01,1.508292e-01,3.304977e-02,1.515725e-01,7.569512e-02,2.076480e-02,3.238033e-02,2.272912e-02,5.882870e-03",0.86439,0.184027,-0.110932,-14894.56684,10
0,11,mx_001.trim.unal.bt2.bam,mx_014.trim.unal.bt2.bam,8039,0.892081,0,0,0.016674,0,0.071277,0,0.019966,0.000002,0.000002,0.091245,0.036641,0.000002,0.000002,0.000002,0.019966,0.000002,0.019968,0.063943,0.027302,-10158.49637,206,-1,0.778897,"5.003080e-01,1.594787e-01,2.982772e-02,1.452634e-01,8.062347e-02,2.035049e-02,3.848363e-02,2.054088e-02,5.123777e-03",0.847289,0.194769,-0.110478,-11432.13231,18
0,12,mx_001.trim.unal.bt2.bam,mx_015.trim.unal.bt2.bam,3605,0.913966,0,0,0.021729,0,0.064305,0,0,0,0,0.064305,0.021729,0,0,0,0,0,0,0.043017,0.021288,-4125.613416,102,-1,0.349288,"5.079668e-01,1.550678e-01,2.517840e-02,1.519210e-01,7.509906e-02,2.381644e-02,3.092462e-02,2.834294e-02,1.682895e-03",0.747054,0.180852,-0.072852,-4660.072071,27
0,13,mx_001.trim.unal.bt2.bam,mx_017.trim.unal.bt2.bam,8211,0.842607,0,0,0.083848,0,0.04265,0,0.030894,0,0,0.073544,0.114743,0,0,0,0.030895,0,0.030895,0.094144,-0.020599,-10624.25864,126,-1,0.795562,"4.729677e-01,1.664887e-01,5.036874e-02,1.509595e-01,7.613001e-02,2.358200e-02,3.300626e-02,1.956765e-02,6.929343e-03",1.095166,0.171474,-0.176696,-11820.44161,18
0,14,mx_001.trim.unal.bt2.bam,mx_018.trim.unal.bt2.bam,7634,0.921626,0,0,0.000018,0,0.078355,0,0,0.000002,0.000002,0.078357,0.00002,0.000002,0.000002,0.000002,0,0.000002,0.000002,0.039188,0.039169,-9743.687573,154,-1,0.739657,"4.701023e-01,1.846930e-01,3.444198e-02,1.436876e-01,8.416417e-02,2.183437e-02,3.079187e-02,2.616944e-02,4.115349e-03",0.775079,0.190581,-0.085005,-10856.98849,21
0,15,mx_001.trim.unal.bt2.bam,mx_019.trim.unal.bt2.bam,9836,0.710709,0,0,0.210604,0,0.046907,0,0.03178,0,0,0.078687,0.242384,0,0,0,0.03178,0,0.03178,0.160535,-0.081849,-13900.08765,130,-1,0.953008,"4.822262e-01,1.468970e-01,6.058830e-02,1.559809e-01,6.250750e-02,3.085760e-02,3.757361e-02,1.493142e-02,8.437484e-03",1.570402,0.139891,-0.282503,-15414.33549,10
0,16,mx_001.trim.unal.bt2.bam,mx_020.trim.unal.bt2.bam,9361,0.656868,0.157989,0.04236,0.032308,0.033098,0.038525,0.015758,0.023093,0,0.157997,0.077376,0.088499,0.085106,0.007879,0.016549,0.065453,0,0.065453,0.228721,0.003109,-12297.51568,126,-1,0.906986,"5.306854e-01,1.334248e-01,2.446376e-02,1.263910e-01,9.541598e-02,2.882049e-02,2.301172e-02,2.419572e-02,1.359115e-02",0.497563,0.264818,0.000923,-13602.72337,14
0,17,mx_001.trim.unal.bt2.bam,mx_021.trim.unal.bt2.bam,9888,0.896501,0,0,0.025636,0,0.03837,0.000001,0.039492,0,0.000001,0.077864,0.065128,0.000001,0.000001,0,0.039492,0,0.039492,0.071496,0.006367,-13218.67911,154,-1,0.958047,"5.067953e-01,1.533887e-01,3.031722e-02,1.505001e-01,7.796716e-02,2.036066e-02,3.334939e-02,1.999039e-02,7.331179e-03",0.816582,0.19114,-0.098698,-14884.55135,10
0,18,mx_001.trim.unal.bt2.bam,mx_022.trim.unal.bt2.bam,9668,0.770294,0,0,0.145748,0,0.046743,0,0.037215,0,0,0.083958,0.182964,0,0,0,0.037215,0,0.037215,0.133461,-0.049503,-13548.04862,202,-1,0.936731,"4.738972e-01,1.612126e-01,5.566895e-02,1.527508e-01,6.596218e-02,2.852777e-02,3.882746e-02,1.607761e-02,7.075458e-03",1.432585,0.145591,-0.25083,-15043.64939,11
0,19,mx_001.trim.unal.bt2.bam,mx_023.trim.unal.bt2.bam,10009,0.862151,0.047531,0.005109,0,0,0.085202,0.000007,0,0,0.02888,0.085209,0,0.014441,0.000003,0,0.005109,0,0.005109,0.071482,0.042601,-13226.71096,114,-1,0.96977,"4.499797e-01,2.361000e-01,4.253602e-03,1.043617e-01,1.386669e-01,5.288268e-03,1.852371e-02,4.062149e-02,2.204561e-03",0.164259,0.338915,0.140292,-14568.94616,10
0,20,mx_001.trim.unal.bt2.bam,mx_024.trim.unal.bt2.bam,9808,0.792891,0,0,0.124227,0,0.013929,0,0.068954,0,0,0.082883,0.19318,0,0,0,0.068954,0,0.068954,0.138032,-0.055149,-13773.46265,170,-1,0.950296,"4.825104e-01,1.513472e-01,5.640605e-02,1.549301e-01,6.820596e-02,2.530579e-02,3.864097e-02,1.530169e-02,7.351855e-03",1.39353,0.154336,-0.252201,-15280.88633,10
0,21,mx_001.trim.unal.bt2.bam,mx_025.trim.unal.bt2.bam,8149,0.866912,0,0,0.057382,0,0.075643,0,0.000062,0,0,0.075705,0.057445,0,0,0,0.000062,0,0.000062,0.066575,0.00913,-10244.22787,1011,-1,0.789555,"4.974518e-01,1.573496e-01,3.312372e-02,1.501797e-01,7.894061e-02,2.212222e-02,2.716885e-02,2.882879e-02,4.834716e-03",0.763771,0.188505,-0.08065,-11453.99024,19
0,22,mx_001.trim.unal.bt2.bam,mx_026.trim.unal.bt2.bam,5459,0.892897,0.000018,0,0.000019,0,0.107035,0.000003,0.000025,0.000003,0.000014,0.107066,0.000047,0.000009,0.000004,0.000003,0.000025,0.000003,0.000028,0.053567,0.053508,-6503.692118,51,-1,0.528922,"4.852965e-01,1.917434e-01,1.454913e-02,1.388655e-01,8.389129e-02,2.137236e-02,3.689681e-02,2.302612e-02,4.358937e-03",0.613245,0.196719,-0.035005,-7237.983136,30
0,23,mx_001.trim.unal.bt2.bam,mx_028.trim.unal.bt2.bam,9631,0.892636,0,0,0.027078,0,0.039802,0,0.040484,0,0,0.080285,0.067562,0,0,0,0.040484,0,0.040484,0.073924,0.006362,-12702.42671,162,-1,0.933146,"5.039830e-01,1.518166e-01,3.381706e-02,1.512974e-01,7.885315e-02,1.908253e-02,3.233518e-02,2.215124e-02,6.663785e-03",0.83893,0.192091,-0.106465,-14286.53217,14
0,24,mx_001.trim.unal.bt2.bam,mx_030.trim.unal.bt2.bam,9337,0.815511,0.000024,0,0.099005,0.002811,0.043738,0.006569,0.032342,0,0.007047,0.082649,0.134158,0.004696,0.003285,0.001405,0.032342,0,0.032342,0.113105,-0.027633,-12416.83529,102,-1,0.90466,"5.120743e-01,1.419518e-01,3.615395e-02,1.486337e-01,7.514125e-02,2.466332e-02,3.071996e-02,2.131360e-02,9.348071e-03",0.889976,0.186253,-0.12038,-13807.18878,14
0,25,mx_001.trim.unal.bt2.bam,mx_033.trim.unal.bt2.bam,9624,0.896936,0,0,0.021165,0,0.058989,0,0.022911,0,0,0.0819,0.044076,0,0,0,0.022911,0,0.022911,0.062988,0.018912,-12640.21638,74,-1,0.932468,"5.028979e-01,1.558964e-01,3.048227e-02,1.512035e-01,7.865730e-02,1.943026e-02,3.338706e-02,2.144923e-02,6.595991e-03",0.811995,0.190986,-0.097134,-14221.28263,11
0,26,mx_001.trim.unal.bt2.bam,mx_034.trim.unal.bt2.bam,9788,0.892834,0,0,0.023236,0,0.051839,0,0.03209,0.000001,0.000001,0.08393,0.055327,0.000001,0.000001,0.000001,0.03209,0.000001,0.032091,0.069628,0.014301,-12956.98189,102,-1,0.948358,"5.047884e-01,1.528264e-01,3.374927e-02,1.480909e-01,7.999948e-02,1.922895e-02,3.096302e-02,2.362515e-02,6.728410e-03",0.808909,0.195845,-0.09811,-14661.20287,11
