sample,pop,depthZone,Frac Symbiodinium,Frac Breviolum,Frac Cladocopium,Frac Durusdinium
1,1,25,0.000925434,0.001944929,0.995767276,0.001362361
2,1,25,0.001147493,0.002760734,0.994242283,0.001849489
3,1,25,0.001509805,0.003579426,0.99309561,0.001815159
4,1,25,0.001170855,0.001853854,0.99533284,0.00164245
5,1,25,0.001550774,0.003769399,0.99250648,0.002173347
7,1,25,0.001956062,0.00508183,0.990268836,0.002693272
8,1,15,0.001949522,0.002211306,0.98168435,0.014154822
9,1,15,0.001863049,0.003260336,0.992165213,0.002711402
10,1,15,0.002348961,0.003979845,0.989484446,0.004186748
11,1,10,0.00121867,0.003099451,0.994396039,0.00128584
12,1,10,0.001239679,0.003274449,0.990425697,0.005060176
14,1,10,0.001422156,0.007372754,0.989034431,0.002170659
15,1,10,0.002017706,0.004900144,0.991558575,0.001523574
17,1,35,0.001497694,0.005591389,0.978852567,0.01405835
18,1,35,0.00256205,0.008678943,0.960160128,0.028598879
19,1,35,0.001560986,0.004449708,0.988167008,0.005822299
20,1,35,0.001557115,0.004266495,0.987979072,0.006197318
21,1,35,0.000978636,0.001542596,0.996325047,0.001153721
22,1,35,0.001084733,0.002298294,0.993362775,0.003254199
23,1,35,0.00084154,0.001113743,0.995399513,0.002645204
24,1,35,0.001962019,0.00334143,0.988257873,0.006438678
25,1,15,0.001245675,0.003143846,0.994265942,0.001344538
26,1,15,0.000864006,0.005356834,0.992828754,0.000950406
28,1,15,0.001468368,0.004032842,0.993133828,0.001364962
30,1,15,0.002780946,0.002818967,0.993194286,0.001205801
33,1,10,0.001018691,0.003011781,0.994330764,0.001638763
34,1,10,0.001850123,0.001932566,0.99488367,0.00133364
35,1,10,0.000907974,0.003645249,0.994445335,0.001001442
36,1,10,0.001274959,0.004955891,0.990314421,0.003454729
37,1,10,0.001207892,0.0029423,0.993134633,0.002715175
38,1,10,0.001653283,0.003419523,0.993335524,0.00159167
40,1,10,0.001893281,0.00339614,0.990287575,0.004423004
41,1,10,0.001544642,0.003463917,0.993573598,0.001417843
42,1,10,0.00149591,0.003042529,0.991918283,0.003543278
43,1,10,0.001287948,0.002584659,0.994745988,0.001381405
44,1,10,0.000992594,0.001982688,0.995042029,0.001982688
45,1,10,0.001228386,0.002475573,0.99459761,0.001698431
46,1,15,0.001363743,0.003173803,0.993627599,0.001834855
47,1,15,0.001240502,0.002362862,0.995141366,0.00125527
49,1,15,0.000982812,0.001706151,0.995987574,0.001323463
50,1,15,0.001071067,0.001883404,0.99455525,0.002490279
51,1,35,0.001455689,0.002848633,0.990847563,0.004848115
