sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
mx_001.trim.bt2.sam	184	2	3	9314	4	1018	2	7	25254	11	0.96128	0.000	0.000	0.999	0.000
mx_002.trim.bt2.sam	140	0	3	6304	3	471	0	4	11928	7	0.96205	0.000	0.000	0.999	0.001
mx_003.trim.bt2.sam	144	0	0	3305	2	585	0	0	4374	3	0.88210	0.000	0.000	0.999	0.001
mx_004.trim.bt2.sam	49	0	1	5734	3	69	0	4	9871	6	0.99307	0.000	0.000	0.999	0.001
mx_005.trim.bt2.sam	139	1	0	4228	2	516	1	0	6285	3	0.92417	0.000	0.000	0.999	0.000
mx_007.trim.bt2.sam	164	0	1	4520	2	972	0	4	7149	7	0.88047	0.000	0.001	0.998	0.001
mx_008.trim.bt2.sam	149	2	3	8114	3	1048	9	6	28721	14	0.96483	0.000	0.000	0.999	0.000
mx_009.trim.bt2.sam	219	0	11	5510	3	2564	0	14	8598	4	0.77066	0.000	0.002	0.998	0.000
mx_010.trim.bt2.sam	165	2	4	7991	7	1188	3	11	19646	14	0.94305	0.000	0.001	0.999	0.001
mx_011.trim.bt2.sam	116	1	3	5099	3	269	1	3	8365	13	0.96891	0.000	0.000	0.998	0.002
mx_012-2.trim.bt2.sam	88	1	0	1235	1	318	1	0	1507	1	0.82594	0.001	0.000	0.999	0.001
mx_012-3.trim.bt2.sam	22	1	0	368	0	28	1	0	408	0	0.93593	0.002	0.000	0.998	0.000
mx_012.trim.bt2.sam	258	1	35	10274	4	5826	9	52	38977	19	0.87020	0.000	0.001	0.998	0.000
mx_014.trim.bt2.sam	118	0	0	1630	0	344	0	0	1962	0	0.85082	0.000	0.000	1.000	0.000
mx_015.trim.bt2.sam	35	0	0	1607	0	48	0	0	2010	0	0.97668	0.000	0.000	1.000	0.000
mx_017.trim.bt2.sam	120	1	1	2703	3	256	3	1	3315	4	0.92847	0.001	0.000	0.998	0.001
mx_018.trim.bt2.sam	87	0	1	1832	0	197	0	1	2465	0	0.92602	0.000	0.000	1.000	0.000
mx_019.trim.bt2.sam	196	1	2	4880	2	2003	1	2	8257	5	0.80493	0.000	0.000	0.999	0.001
mx_020.trim.bt2.sam	156	0	8	4780	2	591	0	8	8193	2	0.93280	0.000	0.001	0.999	0.000
mx_021.trim.bt2.sam	216	1	4	10695	4	2350	1	16	40046	16	0.94461	0.000	0.000	0.999	0.000
mx_022.trim.bt2.sam	176	2	3	9606	3	946	14	12	29580	14	0.96905	0.000	0.000	0.999	0.000
mx_023-2.trim.bt2.sam	314	3	11	13084	4	8876	8	71	151055	83	0.94456	0.000	0.000	0.999	0.001
mx_023-3.trim.bt2.sam	27	2	0	54	0	39	2	0	55	0	0.59375	0.035	0.000	0.965	0.000
mx_023.trim.bt2.sam	248	1	3	11157	4	4967	7	21	51672	32	0.91240	0.000	0.000	0.999	0.001
mx_024.trim.bt2.sam	208	2	3	7720	4	1872	29	8	17030	11	0.90121	0.002	0.000	0.997	0.001
mx_025.trim.bt2.sam	122	0	1	2920	2	326	0	1	3746	4	0.92004	0.000	0.000	0.999	0.001
mx_026.trim.bt2.sam	72	0	0	1476	0	123	0	0	1733	0	0.93373	0.000	0.000	1.000	0.000
mx_028.trim.bt2.sam	160	1	1	2736	1	918	1	1	3517	1	0.79315	0.000	0.000	0.999	0.000
mx_030.trim.bt2.sam	171	17	3	5795	2	1344	17	3	14265	10	0.91406	0.001	0.000	0.998	0.001
mx_033.trim.bt2.sam	159	0	14	5840	2	759	0	14	10267	5	0.93128	0.000	0.001	0.998	0.000
mx_034.trim.bt2.sam	169	33	11	9602	4	1191	34	14	34382	14	0.96658	0.001	0.000	0.998	0.000
mx_035.trim.bt2.sam	126	0	2	3941	2	383	0	2	5612	3	0.93617	0.000	0.000	0.999	0.001
mx_036.trim.bt2.sam	149	1	1	2773	2	616	1	1	3482	3	0.84987	0.000	0.000	0.999	0.001
mx_037.trim.bt2.sam	158	1	1	4569	0	675	1	2	7060	0	0.91277	0.000	0.000	1.000	0.000
mx_038.trim.bt2.sam	176	0	1	4595	2	805	0	3	7144	2	0.89879	0.000	0.000	0.999	0.000
mx_040.trim.bt2.sam	181	1	5	6746	2	1161	3	8	14546	4	0.92615	0.000	0.001	0.999	0.000
mx_041.trim.bt2.sam	213	0	3	7007	4	2083	0	7	13600	8	0.86731	0.000	0.001	0.999	0.001
mx_042.trim.bt2.sam	213	6	20	8600	4	2911	6	30	24671	16	0.89466	0.000	0.001	0.998	0.001
mx_043.trim.bt2.sam	194	0	6	9042	4	1589	0	16	27511	14	0.94545	0.000	0.001	0.999	0.001
mx_044.trim.bt2.sam	203	1	5	9595	3	1980	3	10	30631	14	0.93933	0.000	0.000	0.999	0.000
mx_045.trim.bt2.sam	166	0	1	6655	3	614	0	1	11949	7	0.95116	0.000	0.000	0.999	0.001
mx_046.trim.bt2.sam	179	0	11	7396	4	1113	0	14	18367	13	0.94294	0.000	0.001	0.999	0.001
mx_047.trim.bt2.sam	145	0	1	5712	3	755	0	1	10545	8	0.93324	0.000	0.000	0.999	0.001
mx_049.trim.bt2.sam	238	0	5	11465	3	3801	0	19	53511	19	0.93372	0.000	0.000	0.999	0.000
mx_050.trim.bt2.sam	224	1	5	10752	4	3592	1	12	41734	25	0.92082	0.000	0.000	0.999	0.001
mx_051.trim.bt2.sam	187	1	8	7947	2	1733	1	9	18356	8	0.91381	0.000	0.000	0.999	0.000
mx_052.trim.bt2.sam	152	1	4	6800	1	610	1	6	16364	5	0.96409	0.000	0.000	0.999	0.000
mx_053-2.trim.bt2.sam	172	0	0	205	0	1295	0	0	223	0	0.14690	0.000	0.000	1.000	0.000
mx_053-3.trim.bt2.sam	125	1	0	15	0	405	1	0	15	0	0.03800	0.062	0.000	0.938	0.000
mx_053.trim.bt2.sam	282	2	3	7283	3	6646	2	15	16391	4	0.71177	0.000	0.001	0.999	0.000
mx_054.trim.bt2.sam	178	0	14	1518	2	1523	0	14	1841	3	0.54954	0.000	0.008	0.991	0.002
mx_055.trim.bt2.sam	284	1	3	6859	2	9020	1	11	15671	5	0.63494	0.000	0.001	0.999	0.000
mx_056.trim.bt2.sam	307	0	90	8124	4	10536	0	98	20813	11	0.66508	0.000	0.005	0.995	0.001
mx_057.trim.bt2.sam	137	0	16	5345	2	562	0	16	8784	6	0.94001	0.000	0.002	0.998	0.001
mx_058.trim.bt2.sam	231	1	6	11477	4	4571	4	28	79758	51	0.94585	0.000	0.000	0.999	0.001
mx_059.trim.bt2.sam	239	3	4	9692	3	4342	4	9	27995	14	0.86584	0.000	0.000	0.999	0.000
mx_060.trim.bt2.sam	249	0	2	8880	4	4512	0	7	24467	16	0.84442	0.000	0.000	0.999	0.001
mx_061.trim.bt2.sam	253	0	4	10889	5	4709	0	18	52503	23	0.91775	0.000	0.000	0.999	0.000
mx_062.trim.bt2.sam	279	0	3	8952	3	7155	0	10	27941	16	0.79628	0.000	0.000	0.999	0.001
mx_063.trim.bt2.sam	281	1	6	10020	4	5949	3	16	40981	25	0.87336	0.000	0.000	0.999	0.001
mx_064.trim.bt2.sam	264	2	5	9100	2	6789	10	16	45558	22	0.87043	0.000	0.000	0.999	0.000
mx_065.trim.bt2.sam	144	0	4	2919	2	496	0	5	3693	6	0.88190	0.000	0.001	0.997	0.002
mx_066.trim.bt2.sam	154	1	8	7461	3	651	2	10	17448	17	0.96409	0.000	0.001	0.998	0.001
mx_067.trim.bt2.sam	212	0	15	8486	3	3296	0	17	18158	10	0.84656	0.000	0.001	0.999	0.001
mx_068.trim.bt2.sam	169	0	4	7944	3	1110	0	9	16604	9	0.93740	0.000	0.001	0.999	0.001
mx_069.trim.bt2.sam	239	1	26	11796	4	3328	1	38	54962	25	0.94297	0.000	0.001	0.999	0.000
mx_070-2.trim.bt2.sam	316	5	14	12678	4	8541	9	58	92835	49	0.91585	0.000	0.001	0.999	0.001
mx_070-3.trim.bt2.sam	240	1	10	8323	4	5079	4	22	22838	15	0.81833	0.000	0.001	0.998	0.001
mx_070.trim.bt2.sam	262	3	10	11187	6	6034	5	33	49252	33	0.89100	0.000	0.001	0.999	0.001
mx_071.trim.bt2.sam	162	0	4	7348	2	755	0	5	14901	5	0.95181	0.000	0.000	0.999	0.000
mx_072.trim.bt2.sam	212	0	8	9964	3	2361	0	17	42488	28	0.94741	0.000	0.000	0.999	0.001
