# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	COG cat	eggNOG annot
Mcavernosa04243	F	(dCMP) deaminase
Mcavernosa04238	L	Inherit from meNOG: multicellular organismal development
Mcavernosa04237	L	Inherit from meNOG: multicellular organismal development
Mcavernosa04236	K	Nuclear transcription factor, X-box binding 1
Mcavernosa04249	S	NA
Mcavernosa04248	K	homeobox
Mcavernosa04247	F	(dCMP) deaminase
Mcavernosa04250	K	homeobox
Mcavernosa04252	C	ATPase, H transporting, lysosomal 56 58kDa, V1 subunit
Mcavernosa04256	S	GLI pathogenesis-related 2
Mcavernosa04255	S	GLI pathogenesis-related 2
Mcavernosa04257	S	GLI pathogenesis-related 2
Mcavernosa04253	S	coiled-coil domain containing 149
Mcavernosa04264	S	Copper/zinc superoxide dismutase (SODC)
Mcavernosa04265	S	Copper/zinc superoxide dismutase (SODC)
Mcavernosa04266	G	solute carrier family 22
Mcavernosa04258	S	GLI pathogenesis-related 2
Mcavernosa04259	S	GLI pathogenesis-related 2
Mcavernosa04260	M	protein Hydra magnipapillata
Mcavernosa04276	S	F-box protein 22
Mcavernosa04280	M	protein Hydra magnipapillata
Mcavernosa04278	O	ring finger and CHY zinc finger
Mcavernosa04272	T	PTK7 protein tyrosine kinase 7
Mcavernosa04267	K	polymerase (RNA) II (DNA directed) polypeptide B
Mcavernosa04281	M	protein Hydra magnipapillata
Mcavernosa04279	A	DEAD (Asp-Glu-Ala-Asp) box helicase 56
Mcavernosa04271	K	nuclear receptor binding factor 2
Mcavernosa04282	A	ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity)
Mcavernosa04274	O	Ubiquitin conjugation factor E4
Mcavernosa04290	G	fucosidase, alpha-L
Mcavernosa04284	G	fucosidase, alpha-L
Mcavernosa04283	M	protein Hydra magnipapillata
Mcavernosa04285	G	fucosidase, alpha-L
Mcavernosa04289	G	fucosidase, alpha-L
Mcavernosa04288	G	fucosidase, alpha-L
Mcavernosa04287	G	fucosidase, alpha-L
Mcavernosa04292	J	pelota homolog
Mcavernosa04294	S	Pfam:DUF1916
Mcavernosa04302	S	NA
Mcavernosa04297	L	nudix (nucleoside diphosphate linked moiety X)-type motif 6
Mcavernosa04299	T	SWAP switching B-cell complex 70kDa subunit
